clinic_id,n_tibu,n_study,mismatch_rate,type1_rate,type2_rate,missing_tibu_rate,false_transfer_rate
0.0,273,263,0.18631178707224336,0.034220532319391636,0.0,0.14068441064638784,0.011406844106463879
8.0,5,5,0.0,0.0,0.0,0.0,0.0
9.0,20,20,0.3,0.0,0.0,0.3,0.0
17.0,52,49,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0
20.0,145,132,0.06818181818181818,0.03787878787878788,0.022727272727272728,0.0,0.007575757575757576
24.0,451,437,0.038901601830663615,0.011441647597254004,0.002288329519450801,0.020594965675057208,0.004576659038901602
49.0,10,10,0.3,0.2,0.0,0.0,0.1
50.0,174,170,0.2529411764705882,0.01764705882352941,0.0058823529411764705,0.0058823529411764705,0.2235294117647059
52.0,70,1,0.0,0.0,0.0,0.0,0.0
53.0,4,4,0.0,0.0,0.0,0.0,0.0
55.0,1,1,0.0,0.0,0.0,0.0,0.0
58.0,22,21,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
74.0,18,17,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0
75.0,82,82,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.0,0.0
78.0,31,30,0.0,0.0,0.0,0.0,0.0
80.0,2,2,0.0,0.0,0.0,0.0,0.0
89.0,1,1,0.0,0.0,0.0,0.0,0.0
90.0,6,5,0.0,0.0,0.0,0.0,0.0
113.0,2,1,0.0,0.0,0.0,0.0,0.0
114.0,7,6,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
115.0,148,147,0.24489795918367346,0.013605442176870748,0.0,0.1564625850340136,0.07482993197278912
128.0,2,2,0.0,0.0,0.0,0.0,0.0
135.0,1,1,0.0,0.0,0.0,0.0,0.0
162.0,243,242,0.2644628099173554,0.0371900826446281,0.012396694214876033,0.012396694214876033,0.2024793388429752
172.0,53,50,0.14,0.04,0.02,0.0,0.08
189.0,3,3,0.0,0.0,0.0,0.0,0.0
190.0,2,2,0.0,0.0,0.0,0.0,0.0
200.0,27,27,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.0,0.07407407407407407
203.0,1,1,1.0,1.0,0.0,0.0,0.0
210.0,28,26,0.11538461538461539,0.07692307692307693,0.0,0.038461538461538464,0.0
213.0,390,378,0.03968253968253968,0.013227513227513227,0.015873015873015872,0.005291005291005291,0.005291005291005291
243.0,2,2,0.5,0.5,0.0,0.0,0.0
245.0,7,7,0.0,0.0,0.0,0.0,0.0
248.0,3,3,0.0,0.0,0.0,0.0,0.0
322.0,12,12,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0
324.0,1,1,0.0,0.0,0.0,0.0,0.0
325.0,36,35,0.0,0.0,0.0,0.0,0.0
327.0,4,4,0.75,0.25,0.25,0.25,0.0
328.0,3,3,0.0,0.0,0.0,0.0,0.0
330.0,6,6,0.0,0.0,0.0,0.0,0.0
347.0,1,1,0.0,0.0,0.0,0.0,0.0
361.0,19,16,0.0,0.0,0.0,0.0,0.0
394.0,1,1,0.0,0.0,0.0,0.0,0.0
399.0,1,1,0.0,0.0,0.0,0.0,0.0
403.0,116,88,0.045454545454545456,0.03409090909090909,0.011363636363636364,0.0,0.0
405.0,3,1,1.0,1.0,0.0,0.0,0.0
433.0,1,1,1.0,0.0,0.0,1.0,0.0
434.0,1,1,1.0,1.0,0.0,0.0,0.0
445.0,2,2,0.5,0.5,0.0,0.0,0.0
448.0,3,3,0.0,0.0,0.0,0.0,0.0
449.0,134,120,0.075,0.041666666666666664,0.008333333333333333,0.025,0.0
450.0,1,1,0.0,0.0,0.0,0.0,0.0
452.0,8,8,0.0,0.0,0.0,0.0,0.0
454.0,1,1,0.0,0.0,0.0,0.0,0.0
467.0,1,1,0.0,0.0,0.0,0.0,0.0
482.0,814,806,0.11042183622828784,0.07816377171215881,0.007444168734491315,0.0024813895781637717,0.022332506203473945
484.0,6,6,0.0,0.0,0.0,0.0,0.0
488.0,1,1,1.0,0.0,1.0,0.0,0.0
494.0,1,1,0.0,0.0,0.0,0.0,0.0
500.0,7,7,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
528.0,1,1,0.0,0.0,0.0,0.0,0.0
530.0,4,4,0.25,0.0,0.0,0.25,0.0
532.0,7,1,1.0,1.0,0.0,0.0,0.0
545.0,8,7,1.0,0.0,0.0,1.0,0.0
